"startTime","itsId","endTime","LENA_type","segmentId_DB","ChildID","Age_months_actual","filename","Endtime","Major_Choice","Num_Agreement"
28110.77,"20181218_132113_024879",28112.9,"Can/non-can","6811.DB1","3131_1",21.26,"20181218_132113_024879",28112.9,"Non-canonical syllables",3
28112.9,"20181218_132113_024879",28113.99,"Can/non-can","6561.DB1","3131_1",21.26,"20181218_132113_024879",28113.99,"Non-canonical syllables",2
28113.99,"20181218_132113_024879",28116.14,"Can/non-can","2640.DB1","3131_1",21.26,"20181218_132113_024879",28116.14,"Non-canonical syllables",3
28123.92,"20181218_132113_024879",28125.06,"Can/non-can","2806.DB1","3131_1",21.26,"20181218_132113_024879",28125.06,"Non-canonical syllables",3
28131.98,"20181218_132113_024879",28133.34,"Can/non-can","4029.DB1","3131_1",21.26,"20181218_132113_024879",28133.34,"Non-canonical syllables",2
28143.81,"20181218_132113_024879",28144.56,"Can/non-can","6156.DB1","3131_1",21.26,"20181218_132113_024879",28144.56,"Non-canonical syllables",3
28150.63,"20181218_132113_024879",28151.23,"Can/non-can","7195.DB1","3131_1",21.26,"20181218_132113_024879",28151.23,"Non-canonical syllables",3
28203.56,"20181218_132113_024879",28204.69,"Can/non-can","6908.DB1","3131_1",21.26,"20181218_132113_024879",28204.69,"Non-canonical syllables",3
28244,"20181218_132113_024879",28244.76,"Can/non-can","4253.DB1","3131_1",21.26,"20181218_132113_024879",28244.76,"Non-canonical syllables",3
29816.29,"20181218_132113_024879",29817.18,"Can/non-can","5195.DB1","3131_1",21.26,"20181218_132113_024879",29817.18,"Non-canonical syllables",2
29818.46,"20181218_132113_024879",29819.32,"Can/non-can","5666.DB1","3131_1",21.26,"20181218_132113_024879",29819.32,"Non-canonical syllables",3
29825.59,"20181218_132113_024879",29826.59,"Can/non-can","5124.DB1","3131_1",21.26,"20181218_132113_024879",29826.59,"Don't mark",3
29829.01,"20181218_132113_024879",29829.62,"Crying","6516.DB1","3131_1",21.26,"20181218_132113_024879",29829.62,"Don't mark",2
29833.52,"20181218_132113_024879",29835.75,"Can/non-can","6852.DB1","3131_1",21.26,"20181218_132113_024879",29835.75,"Non-canonical syllables",2
29839.69,"20181218_132113_024879",29840.34,"Can/non-can","6927.DB1","3131_1",21.26,"20181218_132113_024879",29840.34,"Non-canonical syllables",3
29841.81,"20181218_132113_024879",29842.46,"Can/non-can","4659.DB1","3131_1",21.26,"20181218_132113_024879",29842.46,"Non-canonical syllables",2
